V1,V2,P1,P2,timestamp
2597,2080,0,0,2025-09-07 00:29:36
2575,2105,0,0,2025-09-07 00:29:36
2569,2102,0,0,2025-09-07 00:29:36
2556,2131,0,0,2025-09-07 00:29:36
2490,2149,0,0,2025-09-07 00:29:36
2477,2169,0,0,2025-09-07 00:29:36
2434,2178,0,0,2025-09-07 00:29:36
2435,2179,0,0,2025-09-07 00:29:36
2428,2194,0,0,2025-09-07 00:29:36
2369,2176,0,0,2025-09-07 00:29:36
2332,2220,0,0,2025-09-07 00:29:36
2360,2190,0,0,2025-09-07 00:29:36
2342,2202,0,0,2025-09-07 00:29:36
2350,2238,0,0,2025-09-07 00:29:36
2304,2245,0,0,2025-09-07 00:29:36
2335,2244,0,0,2025-09-07 00:29:36
2311,2238,0,0,2025-09-07 00:29:36
2303,2238,0,0,2025-09-07 00:29:36
2284,2280,0,0,2025-09-07 00:29:36
2283,2283,0,0,2025-09-07 00:29:36
2259,2286,0,0,2025-09-07 00:29:36
2253,2282,0,0,2025-09-07 00:29:36
2247,2301,0,0,2025-09-07 00:29:36
2228,2308,0,0,2025-09-07 00:29:36
2245,2292,0,0,2025-09-07 00:29:36
2203,2329,0,0,2025-09-07 00:29:36
2188,2310,0,0,2025-09-07 00:29:36
2193,2321,0,0,2025-09-07 00:29:36
2175,2352,0,0,2025-09-07 00:29:36
2156,2298,0,0,2025-09-07 00:29:36
2142,2324,0,0,2025-09-07 00:29:36
2147,2320,0,0,2025-09-07 00:29:36
2162,2320,0,0,2025-09-07 00:29:36
2163,2334,0,0,2025-09-07 00:29:36
2149,2339,0,0,2025-09-07 00:29:36
2177,2342,0,0,2025-09-07 00:29:36
2154,2331,0,0,2025-09-07 00:29:36
2151,2337,0,0,2025-09-07 00:29:36
2152,2348,0,0,2025-09-07 00:29:36
2157,2347,0,0,2025-09-07 00:29:36
2159,2307,0,0,2025-09-07 00:29:36
2163,2326,0,0,2025-09-07 00:29:36
2166,2325,0,0,2025-09-07 00:29:36
2150,2337,0,0,2025-09-07 00:29:36
2171,2329,0,0,2025-09-07 00:29:36
2157,2326,0,0,2025-09-07 00:29:36
2166,2340,0,0,2025-09-07 00:29:36
2179,2333,0,0,2025-09-07 00:29:36
2154,2322,0,0,2025-09-07 00:29:36
2156,2304,810,0,2025-09-07 00:29:36
2173,2298,1307,0,2025-09-07 00:29:36
2157,2291,1312,0,2025-09-07 00:29:36
2179,2281,1413,0,2025-09-07 00:29:36
2177,2282,1561,0,2025-09-07 00:29:36
2184,2262,1782,0,2025-09-07 00:29:36
2168,2260,1775,0,2025-09-07 00:29:36
2177,2265,1847,0,2025-09-07 00:29:36
2182,2229,1715,0,2025-09-07 00:29:36
2173,2214,1567,0,2025-09-07 00:29:36
2166,2209,1483,0,2025-09-07 00:29:36
2189,2224,1300,0,2025-09-07 00:29:36
2120,2146,0,0,2025-09-07 00:29:37
2113,2151,0,0,2025-09-07 00:29:37
2126,2156,0,0,2025-09-07 00:29:37
2130,2150,0,0,2025-09-07 00:29:37
